full_name,clone_url
fondberg/spotcast,https://github.com/fondberg/spotcast.git
kijai/ComfyUI-MochiWrapper,https://github.com/kijai/ComfyUI-MochiWrapper.git
nytimes/ingredient-phrase-tagger,https://github.com/nytimes/ingredient-phrase-tagger.git
axitkhurana/buster,https://github.com/axitkhurana/buster.git
sjl/t,https://github.com/sjl/t.git
lmstudio-ai/model-catalog,https://github.com/lmstudio-ai/model-catalog.git
sharsil/mailcat,https://github.com/sharsil/mailcat.git
BullsEye0/dorks-eye,https://github.com/BullsEye0/dorks-eye.git
gamenet/redis-memory-analyzer,https://github.com/gamenet/redis-memory-analyzer.git
lpty/recommendation,https://github.com/lpty/recommendation.git
pyskell/slouchy,https://github.com/pyskell/slouchy.git
fabiocaccamo/django-treenode,https://github.com/fabiocaccamo/django-treenode.git
arpanghosh8453/fitbit-grafana,https://github.com/arpanghosh8453/fitbit-grafana.git
davidadamojr/TextRank,https://github.com/davidadamojr/TextRank.git
c2nes/javalang,https://github.com/c2nes/javalang.git
xtrinch/fcm-django,https://github.com/xtrinch/fcm-django.git
Dawnnnnnn/bilibili-live-tools,https://github.com/Dawnnnnnn/bilibili-live-tools.git
rochacbruno/rust-python-example,https://github.com/rochacbruno/rust-python-example.git
koenrh/delete-tweets,https://github.com/koenrh/delete-tweets.git
Significant-Gravitas/Auto-GPT-Plugin-Template,https://github.com/Significant-Gravitas/Auto-GPT-Plugin-Template.git
swapniljariwala/nsepy,https://github.com/swapniljariwala/nsepy.git
nccgroup/fuzzowski,https://github.com/nccgroup/fuzzowski.git
xuzhengyi1995/Manga_downloader,https://github.com/xuzhengyi1995/Manga_downloader.git
